Company_Names,Jobs,Salery,Location,Industry,About,Review,Rating
Maruti Suzuki,787,28.5k, Gurugram ,Automobile,Automobile | Gurugram +455 other locations,9.5k,4.2
Asian Paints,68,25.5k, Mumbai ,Chemicals,Chemicals | Mumbai +554 other locations,9.5k,3.9
Startek,206,24.5k, Bengaluru ,BPO,BPO | Bengaluru +103 other locations,9.4k,3.1
UltraTech Cement,32,24.9k, Mumbai ,Building Material,Building Material | Mumbai +541 other locations,9.3k,4.1
Paytm,261,34.4k, Noida ,FinTech,FinTech | Noida +420 other locations,9.2k,3.2
Bajaj Finance,6.7k,22.8k, Pune ,NBFC,NBFC | Pune +983 other locations,9.1k,3.9
Shriram Finance,16,15k, Chennai ,NBFC,NBFC | Chennai +1116 other locations,9k,4.0
Sutherland Global Services,232,35.2k, Chennai ,BPO,BPO | Chennai +84 other locations,8.9k,3.4
Equitas Small Finance Bank,25,13.4k, Chennai ,Banking,Banking | Chennai +484 other locations,8.8k,4.4
Cipla,65,26.3k, Mumbai ,Pharma,Pharma | Mumbai +295 other locations,8.5k,4.1
EXL Service,276,44.5k, Noida ,Analytics & KPO,Analytics & KPO | Noida +61 other locations,8.5k,3.6
Wells Fargo,551,57k, Bengaluru ,Financial Services,Financial Services | Bengaluru +27 other locations,8.5k,3.6
Ericsson,37,42.3k, Noida ,Telecom,Telecom | Noida +163 other locations,8.3k,3.9
Samsung,19,26.4k, Noida ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Noida +585 other locations,8.3k,3.9
Dr. Reddy's,11,26k, Hyderabad ,Pharma,Pharma | Hyderabad +215 other locations,8.1k,4.0
Optum Global Solutions,121,49.8k, Hyderabad ,IT Services & Consulting,IT Services & Consulting | Hyderabad +68 other locations,7.8k,4.0
JPMorgan Chase & Co.,1k,88.7k, Bengaluru ,Financial Services,Financial Services | Bengaluru +55 other locations,7.7k,3.8
JSW Steel,131,31.4k, Ballari ,Iron & Steel,Iron & Steel | Ballari +194 other locations,7.7k,3.9
Delhivery,194,21.3k, Gurugram ,Logistics,Logistics | Gurugram +760 other locations,7.7k,3.8
ICICI Prudential Life Insurance,218,23.3k, Mumbai ,Insurance,Insurance | Mumbai +506 other locations,7.7k,3.9
Hexaware Technologies,526,54.1k, Chennai ,IT Services & Consulting,IT Services & Consulting | Chennai +69 other locations,7.6k,3.4
Jana Small Finance Bank,52,14.4k, Bengaluru ,Banking,Banking | Bengaluru +419 other locations,7.5k,3.8
HGS,16,20.5k, Bengaluru ,BPO,BPO | Bengaluru +122 other locations,7.5k,3.7
Ujjivan Small Finance Bank,593,13.3k, Bengaluru ,Banking,Banking | Bengaluru +537 other locations,7.5k,4.0
Sun Pharmaceutical Industries,389,23.3k, Vadodara ,Pharma,Pharma | Vadodara +264 other locations,7.5k,4.1
Amazon Development Centre India,4,38.6k, Hyderabad ,Internet,Internet | Hyderabad +146 other locations,7.5k,3.8
Lupin,19,22.5k, Pune ,Pharma,Pharma | Pune +205 other locations,7.3k,4.1
Ekart Logistics,--,16.1k, Bengaluru ,Logistics,Logistics | Bengaluru +741 other locations,7.3k,3.9
Zydus Lifesciences,52,20k, Ahmedabad ,Pharma,Pharma | Ahmedabad +178 other locations,7.3k,4.0
L&T Construction,--,19.3k, Chennai ,Engineering & Construction,Engineering & Construction | Chennai +433 other locations,7.3k,4.0
Hindustan Unilever,51,20.5k, Mumbai ,FMCG,FMCG | Mumbai +540 other locations,7.2k,4.2
KPMG India,70,66k, Bengaluru ,Management Consulting,Management Consulting | Bengaluru +112 other locations,7.2k,3.4
ITC,89,24.8k, Bengaluru ,FMCG,FMCG | Bengaluru +377 other locations,7.1k,3.9
Axis Max Life Insurance,145,20.3k, New Delhi ,Insurance,Insurance | New Delhi +503 other locations,7.1k,4.0
Megha Engineering & Infrastructures,34,18.7k, Hyderabad ,Engineering & Construction,Engineering & Construction | Hyderabad +406 other locations,6.9k,3.9
Tata Projects,52,22.7k, Mumbai ,Engineering & Construction,Engineering & Construction | Mumbai +287 other locations,6.8k,4.2
Coforge,180,50.1k, Noida ,IT Services & Consulting,IT Services & Consulting | Noida +103 other locations,6.7k,3.3
Bajaj Life Insurance,70,17.4k, Pune ,Insurance,Insurance | Pune +615 other locations,6.5k,3.8
Cholamandalam Investment & Finance,42,12.7k, Chennai ,Financial Services,Financial Services | Chennai +857 other locations,6.5k,3.8
L&T Technology Services,--,43.4k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +93 other locations,6.5k,3.1
FIS,126,38.9k, Pune ,FinTech,FinTech | Pune +60 other locations,6.5k,3.8
Oracle,111,63.1k, Bengaluru ,Software Product,Software Product | Bengaluru +56 other locations,6.3k,3.5
Omega Healthcare,166,26.9k, Chennai ,BPO,BPO | Chennai +69 other locations,6.3k,3.8
Muthoot Finance,117,12.9k, Bengaluru ,NBFC,NBFC | Bengaluru +791 other locations,6.3k,3.7
IIFL Finance,78,14k, Mumbai ,NBFC,NBFC | Mumbai +807 other locations,6.3k,4.0
JLL,399,24.4k, Gurugram ,Real Estate,Real Estate | Gurugram +85 other locations,6.3k,4.1
Indian Army,--,9.4k, New Delhi ,Defence & Aerospace,Defence & Aerospace | New Delhi +363 other locations,6.2k,4.7
eClerx,645,32.5k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +32 other locations,6.2k,3.1
HCL Group,--,39.3k, Chennai ,IT Services & Consulting,IT Services & Consulting | Chennai +97 other locations,6.1k,3.5
DMart,215,18.4k, Mumbai ,Retail,Retail | Mumbai +248 other locations,6k,3.9
Virtusa Consulting Services,1.2k,57k, Hyderabad ,IT Services & Consulting,IT Services & Consulting | Hyderabad +55 other locations,6k,3.7
Piramal Finance,8,12.3k, Mumbai ,NBFC,NBFC | Mumbai +424 other locations,6k,4.2
Indiamart Intermesh,176,21.5k, Noida ,Internet,Internet | Noida +174 other locations,5.9k,3.5
HSBC Group,126,43.8k, Bengaluru ,Financial Services,Financial Services | Bengaluru +63 other locations,5.9k,3.9
PolicyBazaar,713,17.5k, Gurugram ,Internet,Internet | Gurugram +150 other locations,5.9k,3.8
SMFG India Credit,56,10.9k, Mumbai ,NBFC,NBFC | Mumbai +596 other locations,5.9k,3.9
Access Healthcare,1.8k,28.9k, Chennai ,BPO,BPO | Chennai +63 other locations,5.8k,3.7
BigBasket,78,19.3k, Bengaluru ,Internet,Internet | Bengaluru +142 other locations,5.8k,3.9
Siemens,81,34.2k, Bengaluru ,Industrial Automation,Industrial Automation | Bengaluru +155 other locations,5.7k,3.9
Aurobindo Pharma,24,20.7k, Hyderabad ,Pharma,Pharma | Hyderabad +115 other locations,5.7k,4.0
Udaan,8,15.7k, Bengaluru ,Internet,Internet | Bengaluru +367 other locations,5.7k,3.9
GlobalLogic,37,41.1k, Hyderabad ,IT Services & Consulting,IT Services & Consulting | Hyderabad +62 other locations,5.7k,3.5
Firstsource Solutions,177,24.6k, Bengaluru ,BPO,BPO | Bengaluru +74 other locations,5.7k,3.5
Manappuram Finance,13,9.2k, Bengaluru ,NBFC,NBFC | Bengaluru +657 other locations,5.7k,3.9
ICICI Lombard General Insurance Company,222,20.3k, Mumbai ,Insurance,Insurance | Mumbai +318 other locations,5.7k,3.5
Tata Capital,4.8k,15.9k, Mumbai ,NBFC,NBFC | Mumbai +446 other locations,5.7k,4.0
Shapoorji Pallonji Group,70,15.5k, Mumbai ,Engineering & Construction,Engineering & Construction | Mumbai +189 other locations,5.6k,4.1
Standard Chartered,--,42.2k, Chennai ,Banking,Banking | Chennai +67 other locations,5.6k,3.6
UST,91,39.9k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +51 other locations,5.6k,3.7
Apollo Hospitals,214,16.6k, Chennai ,Healthcare,Healthcare | Chennai +228 other locations,5.6k,4.1
Mahindra Finance,521,12.1k, Mumbai ,NBFC,NBFC | Mumbai +737 other locations,5.6k,3.9
Bosch Global Software Technologies,19,40.5k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +47 other locations,5.6k,3.7
Ashok Leyland,1,19k, Chennai ,Automobile,Automobile | Chennai +266 other locations,5.5k,4.0
Swiggy,251,23.4k, Bengaluru ,Internet,Internet | Bengaluru +238 other locations,5.5k,3.7
Citicorp,--,53.4k, Pune ,Financial Services,Financial Services | Pune +68 other locations,5.5k,3.7
Hero MotoCorp,1,15.9k, Gurugram ,Automobile,Automobile | Gurugram +369 other locations,5.4k,4.1
CGI Group,484,46.3k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +43 other locations,5.3k,4.0
Cyient,84,27.5k, Hyderabad ,IT Services & Consulting,IT Services & Consulting | Hyderabad +49 other locations,5.3k,3.6
SBI Cards & Payment Services,73,15.9k, Gurugram ,Financial Services,Financial Services | Gurugram +443 other locations,5.2k,3.6
BNY,75,31.4k, Pune ,Financial Services,Financial Services | Pune +26 other locations,5.2k,3.6
Kalpataru Projects International,4,13.8k, Mumbai ,Engineering & Construction,Engineering & Construction | Mumbai +325 other locations,5.2k,4.2
NTT DATA,84,36.5k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +81 other locations,5.2k,3.8
IQVIA,42,31.2k, Bengaluru ,Clinical Research,Clinical Research | Bengaluru +66 other locations,5.2k,3.7
Nagarjuna Construction Company,17,12.2k, Hyderabad ,Engineering & Construction,Engineering & Construction | Hyderabad +299 other locations,5.1k,4.0
JustDial,89,15.3k, Noida ,Internet,Internet | Noida +232 other locations,5.1k,3.5
Schneider Electric,170,25k, Bengaluru ,Industrial Automation,Industrial Automation | Bengaluru +119 other locations,5.1k,4.1
SBI Life Insurance Company,1,12.1k, Mumbai ,Insurance,Insurance | Mumbai +658 other locations,5.1k,3.7
CBRE,204,18.9k, Hyderabad ,Real Estate,Real Estate | Hyderabad +92 other locations,5k,4.1
TVS Motor,21,16k, Hosur ,Automobile,Automobile | Hosur +352 other locations,5k,3.9
Persistent Systems,293,45.6k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +41 other locations,5k,3.6
State Bank of India,10,11.8k, Mumbai ,Banking,Banking | Mumbai +622 other locations,4.9k,3.8
Atos,96,33.8k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +49 other locations,4.9k,3.8
