Company_Names,Jobs,Salery,Location,Industry,About,Review,Rating
Impact Infotech Pvt. Ltd.,--,2.8k, Mumbai ,IT Services & Consulting,IT Services & Consulting | Mumbai +75 other locations,842,3.4
Rohan Builders,43,2.3k, Pune ,Real Estate,Real Estate | Pune +69 other locations,842,4.1
KGISL,35,5.4k, Coimbatore ,IT Services & Consulting,IT Services & Consulting | Coimbatore +21 other locations,840,3.0
India Shelter Finance Corporation,5,2.3k, Gurugram ,NBFC,NBFC | Gurugram +183 other locations,839,3.9
Shaktiman Tirth Agro Technology,--,3k, Rajkot ,Industrial Machinery,Industrial Machinery | Rajkot +65 other locations,839,3.9
Mahindra Tractors,--,2.6k, Nagpur ,Automobile,Automobile | Nagpur +129 other locations,839,4.1
Tata Power Solar,--,3.1k, Bengaluru ,Power,Power | Bengaluru +90 other locations,839,4.0
enGen Global,38,5.6k, Chennai ,IT Services & Consulting,IT Services & Consulting | Chennai +6 other locations,838,3.9
Guardian India,9,4.4k, Chennai ,Insurance,Insurance | Chennai +13 other locations,837,3.8
Duck Creek Technologies,28,1.3k, Mumbai ,Software Product,Software Product | Mumbai +9 other locations,836,4.5
Alorica,4,3k, Bengaluru ,BPO,BPO | Bengaluru +15 other locations,837,3.1
Consolidated Contractors,--,1.3k, Mumbai ,Engineering & Construction,Engineering & Construction | Mumbai +56 other locations,834,4.2
Arvind Lifestyle Brands,35,2k, Bengaluru ,Retail,Retail | Bengaluru +87 other locations,834,4.0
Royal Sundaram General Insurance,15,2.9k, Chennai ,Insurance,Insurance | Chennai +105 other locations,833,3.8
Sanden Vikas,--,2.7k, Faridabad ,Auto Components,Auto Components | Faridabad +33 other locations,833,3.9
Casagrand,72,4.2k, Chennai ,Real Estate,Real Estate | Chennai +19 other locations,833,3.8
Fareportal,13,3.5k, Gurugram ,Internet,Internet | Gurugram +14 other locations,834,3.0
AuthBridge Research Services,8,3.1k, Gurugram ,IT Services & Consulting,IT Services & Consulting | Gurugram +21 other locations,832,3.2
Union Bank of India,--,2.7k, Mumbai ,Banking,Banking | Mumbai +151 other locations,830,3.8
Victora Auto Private Limited,--,3.3k, Faridabad ,Auto Components,Auto Components | Faridabad +31 other locations,829,4.0
HP India,2,5.8k, Bengaluru ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Bengaluru +63 other locations,829,3.8
Feedback Infrastructure Services,4,2.4k, Gurugram ,Engineering & Construction,Engineering & Construction | Gurugram +128 other locations,828,3.4
FIITJEE,--,2k, New Delhi ,Education & Training,Education & Training | New Delhi +48 other locations,828,3.2
Clarivate,96,6.4k, Bengaluru ,Analytics & KPO,Analytics & KPO | Bengaluru +17 other locations,827,3.7
Lumen Technologies,8,4k, Bengaluru ,Hardware & Networking,Hardware & Networking | Bengaluru +14 other locations,824,3.9
Luxoft,467,5.1k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +23 other locations,823,3.6
Sutherland Healthcare Solutions,--,3.9k, Hyderabad ,Analytics & KPO,Analytics & KPO | Hyderabad +14 other locations,822,3.7
Metso,10,3.1k, Alwar ,Metals & Mining,Metals & Mining | Alwar +47 other locations,822,4.1
Ford Business Solutions,12,4k, Chennai ,IT Services & Consulting,IT Services & Consulting | Chennai +52 other locations,822,4.1
Greaves Cotton,8,2.9k, Chhatrapati Sambhajinagar ,Auto Components,Auto Components | Chhatrapati Sambhajinagar +48 other locations,821,4.0
Punj Lloyd,--,1.5k, Gurugram ,Engineering & Construction,Engineering & Construction | Gurugram +70 other locations,821,3.9
Eris Lifesciences,913,2.4k, Ahmedabad ,Pharma,Pharma | Ahmedabad +90 other locations,820,3.6
Medusind Solutions,32,3k, Chennai ,IT Services & Consulting,IT Services & Consulting | Chennai +11 other locations,818,3.4
Freshworks,80,7.1k, Chennai ,Software Product,Software Product | Chennai +47 other locations,818,3.4
Ramco Systems,3,5.2k, Chennai ,Software Product,Software Product | Chennai +29 other locations,817,3.8
IBS Software Services,19,6.5k, Kochi ,Software Product,Software Product | Kochi +18 other locations,817,3.5
Poly Medicure,44,2.9k, Faridabad ,Medical Equipment,Medical Equipment | Faridabad +45 other locations,816,3.5
Teamware Solutions,--,3.2k, Hyderabad ,Recruitment,Recruitment | Hyderabad +24 other locations,815,4.2
Baxter International,41,3.7k, Bengaluru ,Healthcare,Healthcare | Bengaluru +32 other locations,815,3.8
UKG,7,6.1k, Noida ,Software Product,Software Product | Noida +12 other locations,815,3.0
Bpo Convergence,7,2.1k, Hyderabad ,BPO,BPO | Hyderabad +39 other locations,814,3.4
Rockwell Automation,217,5.7k, Pune ,Industrial Automation,Industrial Automation | Pune +22 other locations,814,3.7
Forever Living Products,--,1.6k, Mumbai ,Fitness & Wellness,Fitness & Wellness | Mumbai +98 other locations,812,4.3
eTeam,--,3.6k, Bengaluru ,Recruitment,Recruitment | Bengaluru +19 other locations,811,3.2
Qinecsa Solutions,--,3k, Mysuru ,Clinical Research,Clinical Research | Mysuru +19 other locations,807,2.8
Artech Infosystems,--,3.9k, Bengaluru ,Recruitment,Recruitment | Bengaluru +21 other locations,811,3.3
Rodic Consultants,10,1.9k, Patna ,Engineering & Construction,Engineering & Construction | Patna +133 other locations,809,4.2
DBG Technology,--,2.1k, Rewari ,Electronics Manufacturing,Electronics Manufacturing | Rewari +25 other locations,809,3.7
Huhtamaki,14,2.7k, Mumbai ,Packaging,Packaging | Mumbai +44 other locations,808,4.0
RR kabel,--,2.8k, Vadodara ,Electrical Equipment,Electrical Equipment | Vadodara +115 other locations,807,4.1
Sunbeam Auto,--,2.9k, Gurugram ,Auto Components,Auto Components | Gurugram +30 other locations,805,3.9
Integra Software Services,17,3.1k, Puducherry ,IT Services & Consulting,IT Services & Consulting | Puducherry +19 other locations,805,3.7
Rashmi Group,3,3.2k, Kharagpur ,Iron & Steel,Iron & Steel | Kharagpur +31 other locations,804,3.5
Nexdigm,44,3.4k, Pune ,Management Consulting,Management Consulting | Pune +12 other locations,833,3.7
Five-Star Business Finance,2,2k, Chennai ,NBFC,NBFC | Chennai +247 other locations,803,4.1
Linde India,--,3.7k, Vadodara ,Chemicals,Chemicals | Vadodara +56 other locations,802,3.9
Zydus Healthcare,--,2.2k, Mumbai ,Pharma,Pharma | Mumbai +106 other locations,802,4.0
Investors Clinic,3,1.6k, Noida ,Real Estate,Real Estate | Noida +34 other locations,801,3.6
Vijaya Diagnostic Centre,9,2.1k, Hyderabad ,Healthcare,Healthcare | Hyderabad +40 other locations,802,3.8
Principal Global Services,32,5.9k, Pune ,Insurance,Insurance | Pune +11 other locations,800,3.6
BDO,1,5.7k, Mumbai ,Accounting & Auditing,Accounting & Auditing | Mumbai +34 other locations,799,3.2
Advik Hi Tech,5,3.1k, Pune ,Auto Components,Auto Components | Pune +30 other locations,799,3.7
Syneos Health,139,3.6k, Gurugram ,Clinical Research,Clinical Research | Gurugram +17 other locations,799,3.6
Fluor Corporation,97,1.8k, Gurugram ,Engineering & Construction,Engineering & Construction | Gurugram +24 other locations,796,4.1
JK Paper,2,2.8k, Rayagada ,Pulp & Paper,Pulp & Paper | Rayagada +52 other locations,798,3.9
Border Security Force,--,1.4k, New Delhi ,Law Enforcement & Security,Law Enforcement & Security | New Delhi +112 other locations,799,4.4
Bill Gosling Outsourcing India,49,2.9k,N/A,Gurugram +13 other locations,Gurugram +13 other locations,798,3.5
Hitachi,33,4.7k, Bengaluru ,Industrial Machinery,Industrial Machinery | Bengaluru +86 other locations,797,3.9
Eveready Industries,6,2.4k, Kolkata ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Kolkata +109 other locations,796,3.9
Intex Technologies,5,1.5k, New Delhi ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | New Delhi +76 other locations,796,3.7
K Raheja Corp,33,3.1k, Mumbai ,Real Estate,Real Estate | Mumbai +17 other locations,796,4.2
Praj Industries,13,3.3k, Pune ,Biotechnology,Biotechnology | Pune +46 other locations,794,4.0
Zidio Development,--,106, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +35 other locations,793,4.4
PUMA,10,2.6k, Bengaluru ,Fashion & Textile,Fashion & Textile | Bengaluru +100 other locations,794,4.1
Prama Hikvision India,9,3.1k, Mumbai ,Electronics Manufacturing,Electronics Manufacturing | Mumbai +56 other locations,794,3.6
Waaree Energies,36,3.3k, Surat ,Power,Power | Surat +54 other locations,791,4.0
Zuventus Healthcare,6,2.2k, Mumbai ,Pharma,Pharma | Mumbai +99 other locations,789,3.9
Qualitest,11,6.8k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +22 other locations,789,3.6
Prince Pipes & Fittings,17,2.5k, Mumbai ,Building Material,Building Material | Mumbai +84 other locations,788,4.2
Wipro Consumer Care & Lighting,6,3.7k, Bengaluru ,FMCG,FMCG | Bengaluru +119 other locations,788,3.7
RenewBuy,--,2.9k, Gurugram ,Internet,Internet | Gurugram +107 other locations,787,3.3
THE LEELA PALACES HOTELS & RESORTS,--,2.3k, New Delhi ,Hospitality,Hospitality | New Delhi +33 other locations,787,4.0
IFFCO,--,1.9k, New Delhi ,Agro Chemicals,Agro Chemicals | New Delhi +116 other locations,786,4.1
Skill Lync,--,3.5k, Chennai ,EdTech,EdTech | Chennai +17 other locations,786,3.1
Chennai Radha Engineering Works,14,2.3k, Chennai ,Engineering & Construction,Engineering & Construction | Chennai +58 other locations,785,3.9
Cigniti Technologies,--,6.7k, Hyderabad ,IT Services & Consulting,IT Services & Consulting | Hyderabad +9 other locations,785,3.8
Nippon Koei India,14,1.2k, New Delhi ,Engineering & Construction,Engineering & Construction | New Delhi +69 other locations,784,4.8
Vastu Housing Finance,11,2.2k, Mumbai ,NBFC,NBFC | Mumbai +172 other locations,783,4.2
Engineers India,10,3.4k, New Delhi ,Engineering & Construction,Engineering & Construction | New Delhi +84 other locations,783,4.2
Franklin Templeton Investments,92,4k, Hyderabad ,Financial Services,Financial Services | Hyderabad +33 other locations,783,3.8
Rallis India,--,2.5k, Ankleshwar ,Agro Chemicals,Agro Chemicals | Ankleshwar +118 other locations,783,4.0
Y-Axis Overseas Careers,20,1.4k, Hyderabad ,Other,Other | Hyderabad +17 other locations,782,4.2
Maveric Systems,2,7.3k, Chennai ,IT Services & Consulting,IT Services & Consulting | Chennai +11 other locations,782,3.3
Credence Resource Management,50,3.2k, Pune ,BPO,BPO | Pune +9 other locations,781,3.0
Amber Enterprises India,8,2.9k, Gurugram ,Electronics Manufacturing,Electronics Manufacturing | Gurugram +44 other locations,781,4.0
Aequs,21,3.4k, Belagavi ,Defence & Aerospace,Defence & Aerospace | Belagavi +13 other locations,781,3.4
Edubridge Learning,10,1.3k, Mumbai ,EdTech,EdTech | Mumbai +63 other locations,780,3.9
Careernet,--,4.6k, Bengaluru ,Recruitment,Recruitment | Bengaluru +24 other locations,780,3.6
Microtek International,2,2.7k, New Delhi ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | New Delhi +119 other locations,780,3.7
Indo Autotech,1,2.8k, Faridabad ,Auto Components,Auto Components | Faridabad +33 other locations,779,3.9
Jai Balaji Group,3,3.1k, Durgapur ,Iron & Steel,Iron & Steel | Durgapur +41 other locations,779,3.2
Reliance BP Mobility,32,2.7k, Mumbai ,Oil & Gas,Oil & Gas | Mumbai +104 other locations,779,3.6
AISIN,--,2.7k, Rohtak ,Auto Components,Auto Components | Rohtak +28 other locations,778,4.1
NTT,--,4.8k, Mumbai ,IT Services & Consulting,IT Services & Consulting | Mumbai +42 other locations,778,3.8
Dineshchandra R. Agrawal Infracon,10,2.5k, Ahmedabad ,Engineering & Construction,Engineering & Construction | Ahmedabad +82 other locations,777,4.0
Progressive Infotech,14,2.7k, Noida ,IT Services & Consulting,IT Services & Consulting | Noida +68 other locations,776,3.3
Action Construction Equipment,1,2.8k, Faridabad ,Industrial Machinery,Industrial Machinery | Faridabad +60 other locations,776,3.8
Reliance Smart,--,2.2k, Hyderabad ,Retail,Retail | Hyderabad +252 other locations,775,4.1
Novac Technology Solutions,40,5.2k, Chennai ,Software Product,Software Product | Chennai +24 other locations,775,3.6
Somany Ceramics,12,2.7k, New Delhi ,Building Material,Building Material | New Delhi +87 other locations,774,4.2
Pratap Technocrats,8,1.9k, Ahmedabad ,Telecom,Telecom | Ahmedabad +120 other locations,774,3.8
Ramkrishna Forgings,--,2.9k, Jamshedpur ,Auto Components,Auto Components | Jamshedpur +28 other locations,774,3.4
Denave,23,2.7k, Noida ,Marketing & Advertising,Marketing & Advertising | Noida +70 other locations,774,3.5
First Advantage,71,5.2k, Bengaluru ,Recruitment,Recruitment | Bengaluru +12 other locations,773,3.5
Travel Food Services Ltd,--,2k, Mumbai ,Hospitality,Hospitality | Mumbai +36 other locations,772,4.1
Creative Synergies Group,16,2.3k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +9 other locations,772,3.9
Radical Minds,12,2.6k, Gurugram ,BPO,BPO | Gurugram +13 other locations,772,2.9
Lea Associates South Asia,--,1.8k, New Delhi ,Engineering & Construction,Engineering & Construction | New Delhi +139 other locations,771,4.2
Ask Automotive,--,3k, Gurugram ,Auto Components,Auto Components | Gurugram +30 other locations,770,4.2
Toyo Engineering,--,3.6k, Mumbai ,Engineering & Construction,Engineering & Construction | Mumbai +44 other locations,770,4.0
Ugro Capital,13,2.7k, Mumbai ,NBFC,NBFC | Mumbai +167 other locations,771,3.7
Allied Digital Services,10,3.3k, Mumbai ,IT Services & Consulting,IT Services & Consulting | Mumbai +56 other locations,770,3.2
Hilti,20,3.6k, Gurugram ,Industrial Machinery,Industrial Machinery | Gurugram +48 other locations,769,3.4
Cohance Lifesciences,8,3.1k, Hyderabad ,Pharma,Pharma | Hyderabad +22 other locations,920,3.8
Lenovo,15,4k, Bengaluru ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Bengaluru +84 other locations,769,4.1
Hitachi Digital Services,221,2.1k, Hyderabad ,IT Services & Consulting,IT Services & Consulting | Hyderabad +15 other locations,769,3.5
Simplilearn,58,4.5k, Bengaluru ,EdTech,EdTech | Bengaluru +9 other locations,768,3.2
Fleetguard Filters Private Limited,22,2.7k, Pune ,Auto Components,Auto Components | Pune +84 other locations,767,4.3
Axtria,179,7.5k, Gurugram ,Software Product,Software Product | Gurugram +8 other locations,767,2.8
Universal Sompo General Insurance,3,2.1k, Mumbai ,Insurance,Insurance | Mumbai +121 other locations,767,4.4
People Tech Group,41,5.3k, Hyderabad ,IT Services & Consulting,IT Services & Consulting | Hyderabad +12 other locations,767,2.3
Creambell,6,2.1k, New Delhi ,Food Processing,Food Processing | New Delhi +105 other locations,766,3.9
Wipro Infrastructure Engineering,15,3.9k, Bengaluru ,Industrial Machinery,Industrial Machinery | Bengaluru +38 other locations,764,3.7
Ksb Pumps,96,3.4k, Pune ,Industrial Machinery,Industrial Machinery | Pune +39 other locations,764,3.8
Forvia Hella,100,3.4k, Pune ,Auto Components,Auto Components | Pune +32 other locations,763,3.8
Bses Rajdhani Power,1,2.7k, New Delhi ,Power,Power | New Delhi +22 other locations,763,3.8
Fidelity International,97,5.7k, Gurugram ,Financial Services,Financial Services | Gurugram +14 other locations,762,3.6
JioStar,314,4.7k, Mumbai ,Media & Entertainment,Media & Entertainment | Mumbai +42 other locations,760,3.5
Dunzo,--,3.1k, Bengaluru ,Internet,Internet | Bengaluru +21 other locations,760,3.5
BNP Paribas India Solutions,2,6.4k, Mumbai ,IT Services & Consulting,IT Services & Consulting | Mumbai +9 other locations,759,3.6
Quatrro Business Support Services,7,2.6k,N/A,Gurugram +14 other locations,Gurugram +14 other locations,762,3.3
Petpooja,45,1.6k, Ahmedabad ,Software Product,Software Product | Ahmedabad +75 other locations,759,4.0
Assystem,113,2.1k, Chennai ,Engineering & Construction,Engineering & Construction | Chennai +68 other locations,759,3.3
Times Internet,28,5.4k, Noida ,Internet,Internet | Noida +24 other locations,758,3.5
Alivus Life Sciences,4,4k, Ankleshwar ,Pharma,Pharma | Ankleshwar +22 other locations,758,3.8
Better.com,25,4k, Gurugram ,Financial Services,Financial Services | Gurugram +9 other locations,757,3.0
Amadeus,9,7k, Bengaluru ,Software Product,Software Product | Bengaluru +14 other locations,756,3.7
VA Tech Wabag,15,2.9k, Chennai ,Waste Management,Waste Management | Chennai +53 other locations,756,3.8
Bunge India,209,3.1k, Sahibzada Ajit Singh Nagar ,Food Processing,Food Processing | Sahibzada Ajit Singh Nagar +70 other locations,755,4.0
Central Industrial Security Force,--,1.8k, New Delhi ,Law Enforcement & Security,Law Enforcement & Security | New Delhi +88 other locations,755,4.3
Brane Enterprises,--,3.4k, Hyderabad ,Software Product,Software Product | Hyderabad +12 other locations,754,2.1
Samsung E&A,--,2.3k, Noida ,Engineering & Construction,Engineering & Construction | Noida +46 other locations,754,3.9
McDermott International,60,3.5k, Chennai ,Engineering & Construction,Engineering & Construction | Chennai +33 other locations,754,4.2
Wabtec,158,4k, Bengaluru ,Auto Components,Auto Components | Bengaluru +30 other locations,754,3.9
1 India Family Mart,5,1.5k, New Delhi ,Retail,Retail | New Delhi +99 other locations,753,4.6
JM Financial,21,3.8k, Mumbai ,Financial Services,Financial Services | Mumbai +69 other locations,753,3.8
Zee Entertainment Enterprises,52,4.3k, Mumbai ,Media & Entertainment,Media & Entertainment | Mumbai +35 other locations,753,3.4
India Japan Lighting,2,2.6k, Chennai ,Auto Components,Auto Components | Chennai +30 other locations,753,4.1
HSBC Software Development,--,8.2k, Pune ,Software Product,Software Product | Pune +8 other locations,752,4.1
Vaaman Engineers,13,2.2k, Jharsuguda ,Engineering & Construction,Engineering & Construction | Jharsuguda +46 other locations,750,3.8
Wapcos,--,2.3k, New Delhi ,Engineering & Construction,Engineering & Construction | New Delhi +145 other locations,752,3.3
CADD Centre Training Services,6,2k, Chennai ,Education & Training,Education & Training | Chennai +133 other locations,752,4.0
National Informatics Centre,--,4.1k, New Delhi ,Government,Government | New Delhi +77 other locations,751,3.9
Orion Edutech,--,1.4k, Kolkata ,EdTech,EdTech | Kolkata +114 other locations,750,3.1
BCD Travel,27,1.7k, Bengaluru ,Travel & Tourism,Travel & Tourism | Bengaluru +11 other locations,750,4.3
Finolex Cables,23,2.6k, Pune ,Electrical Equipment,Electrical Equipment | Pune +76 other locations,749,3.7
ManipalCigna Health Insurance,56,2.9k, Mumbai ,Insurance,Insurance | Mumbai +133 other locations,749,3.7
TO THE NEW,32,5.6k, Noida ,IT Services & Consulting,IT Services & Consulting | Noida +19 other locations,748,3.6
Ascendion,122,3.7k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +16 other locations,746,3.3
Hapag-Lloyd,8,3.1k, Chennai ,Ports & Shipping,Ports & Shipping | Chennai +16 other locations,745,3.8
Sharda Motor Industries,24,2.8k, Chennai ,Auto Components,Auto Components | Chennai +27 other locations,745,3.8
CMS Computers Limited (INDIA),24,3.2k, New Delhi ,IT Services & Consulting,IT Services & Consulting | New Delhi +77 other locations,743,3.6
India Cements,--,2.6k, Chennai ,Building Material,Building Material | Chennai +93 other locations,743,3.9
Integreon,33,3.9k, Mumbai ,BPO,BPO | Mumbai +12 other locations,743,3.2
SLK Global Services,--,2.6k, Bengaluru ,BPO,BPO | Bengaluru +9 other locations,742,3.9
Galfar,--,1.8k, Muscat ,Engineering & Construction,Engineering & Construction | Muscat +40 other locations,742,3.9
Veradigm,51,3.6k, Pune ,Software Product,Software Product | Pune +9 other locations,742,3.7
Livguard,--,2.3k, Gurugram ,Electronics Manufacturing,Electronics Manufacturing | Gurugram +86 other locations,742,3.9
Ameriprise Financial,5,5k, Gurugram ,Financial Services,Financial Services | Gurugram +11 other locations,741,3.7
Primus Global Technologies,3,3k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +27 other locations,740,3.7
Bitwise Solutions,5,4.4k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +9 other locations,740,3.7
Steel Authority Of India,--,2.2k, Bokaro ,Iron & Steel,Iron & Steel | Bokaro +52 other locations,740,4.0
Exicom,7,3k, Gurugram ,Semiconductors,Semiconductors | Gurugram +31 other locations,740,4.0
Padget Electronics,--,2.7k, Noida ,Electronics Manufacturing,Electronics Manufacturing | Noida +17 other locations,740,3.8
Religare,9,2.5k, New Delhi ,Financial Services,Financial Services | New Delhi +97 other locations,739,3.6
ESL Steel,--,2.1k, Bokaro ,Iron & Steel,Iron & Steel | Bokaro +24 other locations,739,3.8
Mswipe Technologies,--,2.3k, Mumbai ,FinTech,FinTech | Mumbai +97 other locations,739,3.2
LifeCell International,54,2.8k, Chennai ,Biotechnology,Biotechnology | Chennai +75 other locations,738,3.4
OLX India,11,3.2k, Gurugram ,Internet,Internet | Gurugram +57 other locations,737,3.7
Patel Infrastructure Limited,12,2.1k, Vadodara ,Engineering & Construction,Engineering & Construction | Vadodara +58 other locations,737,4.2
UnitedLex,42,3.6k, New Delhi ,Analytics & KPO,Analytics & KPO | New Delhi +12 other locations,737,2.7
EMERSON PROCESS MANAGEMENT,--,4.4k, Pune ,Industrial Automation,Industrial Automation | Pune +31 other locations,737,4.0
Mott MacDonald,218,2.7k, Mumbai ,Management Consulting,Management Consulting | Mumbai +49 other locations,737,4.0
Protiviti,5,5.1k, Gurugram ,Management Consulting,Management Consulting | Gurugram +28 other locations,737,3.1
Indusind Marketing & Financial Services,--,1.5k, Chennai ,Financial Services,Financial Services | Chennai +273 other locations,735,3.6
Celebal Technologies,12,4.4k, Jaipur ,IT Services & Consulting,IT Services & Consulting | Jaipur +23 other locations,734,3.0
Shivalik Small Finance Bank,10,1.7k, Noida ,Banking,Banking | Noida +39 other locations,735,4.0
Stellantis,1,5k, Chennai ,Automobile,Automobile | Chennai +16 other locations,732,3.4
Neuland Laboratories,5,2.9k, Hyderabad ,Pharma,Pharma | Hyderabad +7 other locations,731,4.0
GirnarSoft,6,3.3k, Gurugram ,IT Services & Consulting,IT Services & Consulting | Gurugram +54 other locations,731,3.6
Care Hospital,70,2.1k, Hyderabad ,Healthcare,Healthcare | Hyderabad +43 other locations,731,4.1
ASG Eye Hospital,63,1.7k, Jaipur ,Healthcare,Healthcare | Jaipur +77 other locations,730,3.5
Deepak Nitrite,25,3.1k, Vadodara ,Chemicals,Chemicals | Vadodara +20 other locations,730,3.9
Isuzu Motors,1,2.9k, Chennai ,Automobile,Automobile | Chennai +39 other locations,730,4.1
Greenply,22,2.4k, Kolkata ,Building Material,Building Material | Kolkata +96 other locations,730,3.8
Boeing,32,6.9k, Bengaluru ,Aviation,Aviation | Bengaluru +13 other locations,730,3.8
Vertex Customer Solutions,--,1.1k, Chennai ,IT Services & Consulting,IT Services & Consulting | Chennai +33 other locations,730,3.5
The Akshaya Patra Foundation,10,1.9k, Bengaluru ,Non-Profit,Non-Profit | Bengaluru +68 other locations,729,4.4
Sun Life Financial,139,4.2k, Gurugram ,Financial Services,Financial Services | Gurugram +12 other locations,729,3.8
Rackspace,3,4.3k, Gurugram ,IT Services & Consulting,IT Services & Consulting | Gurugram +15 other locations,729,3.7
Adidas,35,3.7k, Gurugram ,Fashion & Textile,Fashion & Textile | Gurugram +70 other locations,728,3.9
Smollan Group,14,1.8k, Mumbai ,Marketing & Advertising,Marketing & Advertising | Mumbai +143 other locations,729,3.9
Transrail Lighting,--,2.5k, Mumbai ,Engineering & Construction,Engineering & Construction | Mumbai +99 other locations,727,4.0
Google Operations Center,--,3.7k, Hyderabad ,BPO,BPO | Hyderabad +16 other locations,726,3.6
Mindsprint,15,4.1k, Chennai ,IT Services & Consulting,IT Services & Consulting | Chennai +10 other locations,725,3.6
Writer Information Management Services,--,2.7k, Mumbai ,BPO,BPO | Mumbai +69 other locations,724,3.1
Lavender Technology,--,19, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +8 other locations,724,4.9
Aurigo Software Technologies,21,1k, Bengaluru ,Software Product,Software Product | Bengaluru +6 other locations,722,4.6
RITES,1,2.5k, Gurugram ,Engineering & Construction,Engineering & Construction | Gurugram +88 other locations,723,3.9
DuPont,9,3k, Hyderabad ,Waste Management,Waste Management | Hyderabad +47 other locations,721,4.2
ffreedom app,--,1.5k, Bengaluru ,Internet,Internet | Bengaluru +26 other locations,718,3.5
LG Soft India,3,4.5k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +15 other locations,718,2.8
Volkswagen Group Technology Solution,8,4.6k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +14 other locations,718,3.9
McKinsey & Company,10,8.5k, Gurugram ,Management Consulting,Management Consulting | Gurugram +25 other locations,718,3.8
V-Trans,--,1.9k, Mumbai ,Logistics,Logistics | Mumbai +93 other locations,718,3.8
Expleo Solutions,5,4.8k, Chennai ,IT Services & Consulting,IT Services & Consulting | Chennai +15 other locations,717,3.5
Molex,3,3.8k, Bengaluru ,Electronics Manufacturing,Electronics Manufacturing | Bengaluru +17 other locations,716,3.9
B. G. Shirke Construction Technology,9,2.7k, Pune ,Engineering & Construction,Engineering & Construction | Pune +26 other locations,716,4.2
BDO India LLP,125,3.9k, Mumbai ,Accounting & Auditing,Accounting & Auditing | Mumbai +35 other locations,714,3.3
Electrosteel Casting,--,2.7k, Kolkata ,Building Material,Building Material | Kolkata +29 other locations,715,3.6
Nvidia,212,5.3k, Pune ,Hardware & Networking,Hardware & Networking | Pune +19 other locations,714,3.5
Ag Industries,--,2.8k, Gurugram ,Auto Components,Auto Components | Gurugram +32 other locations,713,3.9
Koch Business Solutions,--,4.9k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +11 other locations,713,3.1
Sterlite Power,32,3.2k, New Delhi ,Power,Power | New Delhi +83 other locations,713,4.0
TDK India Private Limited,--,2.2k,N/A,Nashik +26 other locations,Nashik +26 other locations,713,3.9
Biba Apparels,--,2.1k, New Delhi ,Fashion & Textile,Fashion & Textile | New Delhi +97 other locations,712,3.5
Mitsubishi Electric India,7,2.9k, Pune ,Electronics Manufacturing,Electronics Manufacturing | Pune +52 other locations,712,4.2
Delta Electronics,4,3.6k, Bengaluru ,Electronics Manufacturing,Electronics Manufacturing | Bengaluru +43 other locations,712,3.9
AI Airport Services,--,1.7k, Mumbai ,Aviation,Aviation | Mumbai +60 other locations,712,3.3
uFaber,--,1.4k, Mumbai ,Education & Training,Education & Training | Mumbai +24 other locations,709,2.2
XcelServ Solutions,--,419, New Delhi ,IT Services & Consulting,IT Services & Consulting | New Delhi +33 other locations,708,4.4
NecLife,2,2.3k, Chandigarh ,Pharma,Pharma | Chandigarh +30 other locations,708,3.6
Eugia Pharma Specialities,--,2.7k, Hyderabad ,Pharma,Pharma | Hyderabad +18 other locations,708,4.0
BSH Home Appliances Group,36,2.4k, Bengaluru ,Consumer Electronics & Appliances,Consumer Electronics & Appliances | Bengaluru +59 other locations,706,3.8
Genus Power Infrastructures,--,2.9k, Jaipur ,Electronics Manufacturing,Electronics Manufacturing | Jaipur +85 other locations,705,3.9
Rentokil Pest Control,322,2k, Mumbai ,Facility Management Services,Facility Management Services | Mumbai +111 other locations,705,3.6
Sterling Tools,1,1.2k, Faridabad ,Auto Components,Auto Components | Faridabad +16 other locations,707,4.6
Medreich,3,2.9k, Bengaluru ,Pharma,Pharma | Bengaluru +14 other locations,704,3.9
Tavant Technologies,66,6.2k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +13 other locations,704,3.8
Home First Finance Company India,304,2.6k, Mumbai ,NBFC,NBFC | Mumbai +103 other locations,704,3.5
Bristlecone,128,6k, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +14 other locations,703,3.7
Bikanervala,1,2k, New Delhi ,FMCG,FMCG | New Delhi +69 other locations,703,3.9
Evision Technoserve,--,211, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +44 other locations,703,4.7
